DateTime,OCTANE 95 (LBP),OCTANE 98 (LBP),DIESEL (LBP),GAS (LBP),BRENT CRUDE OIL (USD),USD to LBP
8/11/2021 09:19,,,,,,20575.00
8/11/2021 11:32,,,,,,20500.00
8/11/2021 13:55,,,,,,20550.00
8/11/2021 15:34,,,,,,20450.00
8/11/2021 17:41,,,,,,20550.00
8/11/2021 18:00,77500,79700,58500,58800,71.44,
8/11/2021 19:39,,,,,,20525.00
8/12/2021 9:23,,,,,,20700
8/12/2021 10:17,,,,,,21050
8/12/2021 11:04,,,,,,21200
8/12/2021 13:24,,,,,,20800
8/12/2021 15:30,,,,,,21000
8/12/2021 17:31,,,,,,20950
8/12/2021 19:30,,,,,,21000
8/13/2021 11:39,,,,,,20750
8/13/2021 13:30,,,,,,20800
8/13/2021 15:39,,,,,,20600
8/13/2021 17:49,,,,,,20100
8/13/2021 19:30,,,,,,20200
8/14/2021 9:31,,,,,,20400
8/14/2021 11:45,,,,,,20300
8/14/2021 13:31,,,,,,19900
8/14/2021 14:36,,,,,,19800
8/14/2021 15:57,,,,,,19800
8/14/2021 17:40,,,,,,20000
8/14/2021 19:36,,,,,,19500
8/15/2021 9:31,,,,,,19000
8/15/2021 12:00,,,,,,18750
8/15/2021 13:31,,,,,,19500
8/15/2021 13:58,,,,,,19000
8/15/2021 15:41,,,,,,19000
8/15/2021 17:30,,,,,,19000
8/15/2021 19:10,,,,,,19150
8/16/2021 9:31,,,,,,19000
8/16/2021 10:25,,,,,,18600
8/16/2021 12:36,,,,,,18650
8/16/2021 13:33,,,,,,18550
8/16/2021 15:21,,,,,,18000
8/16/2021 15:24,,,,,,18000
8/16/2021 15:48,,,,,,17800
8/16/2021 16:06,,,,,,17700
8/16/2021 17:15,,,,,,19100
8/16/2021 18:44,,,,,,19200
8/16/2021 19:32,,,,,,18850
8/17/2021 9:29,,,,,,19000
8/17/2021 11:25,,,,,,18850
8/17/2021 14:25,,,,,,18800
8/17/2021 15:30,,,,,,18600
8/17/2021 17:39,,,,,,18700
8/17/2021 19:00,,,,,,18700
8/18/2021 11:19,,,,,,18200
8/18/2021 12:04,,,,,,18175
8/18/2021 12:45,,,,,,18100
8/18/2021 13:31,,,,,,18150
8/18/2021 16:50,,,,,,18150
8/18/2021 17:30,,,,,,18200
8/18/2021 19:45,,,,,,18300
8/19/2021 9:34,,,,,,18550
8/19/2021 11:01,,,,,,19300
8/19/2021 12:25,,,,,,19900
8/19/2021 13:32,,,,,,19800
8/19/2021 15:40,,,,,,20100
8/19/2021 16:11,,,,,,20150
8/19/2021 18:54,,,,,,19100
8/19/2021 19:42,,,,,,19400
8/19/2021 21:35,,,,,,19100
8/20/2021 9:30,,,,,,19100
8/20/2021 13:10,,,,,,19050
8/20/2021 15:30,,,,,,19000
8/20/2021 19:34,,,,,,19200
8/21/2021 9:30,,,,,,19175
8/21/2021 11:30,,,,,,19100
8/21/2021 13:30,,,,,,19250
8/21/2021 15:31,,,,,,19200
8/21/2021 17:57,,,,,,19125
8/21/2021 19:39,,,,,,19150
8/21/2021 21:08,,,,,,18900
8/22/2021 9:04,,,,,,18800
8/22/2021 9:33,,,,,,18800
8/22/2021 10:48,,,,,,18800
8/22/2021 11:30,,,,,,18800
8/22/2021 13:30,,,,,,19000
8/22/2021 15:50,,,,,,18950
8/22/2021 17:32,,,,,,18950
8/22/2021 18:00,129000,133200,101500,90400,68.75,
8/22/2021 21:46,,,,,,18900
8/23/2021 9:30,,,,,,19050
8/23/2021 11:12,,,,,,19300
8/23/2021 11:30,,,,,,19250
8/23/2021 13:50,,,,,,19250
8/23/2021 15:49,,,,,,19175
8/23/2021 17:30,,,,,,19150
8/23/2021 19:27,,,,,,19150
8/24/2021 9:32,,,,,,19200
8/24/2021 11:38,,,,,,19150
8/24/2021 13:46,,,,,,19200
8/24/2021 16:24,,,,,,19200
8/24/2021 17:50,,,,,,19200
8/24/2021 18:00,128200,132400,98800,90600,71.05,
8/24/2021 19:39,,,,,,19150
8/25/2021 9:35,,,,,,19200
8/25/2021 11:31,,,,,,19200
8/25/2021 12:05,,,,,,19150
8/25/2021 13:39,,,,,,19100
8/25/2021 15:32,,,,,,19125
8/25/2021 17:30,,,,,,19100
8/25/2021 19:33,,,,,,19150
8/26/2021 9:27,,,,,,19100
8/26/2021 10:05,,,,,,19000
8/26/2021 11:04,,,,,,18900
8/26/2021 11:30,,,,,,18800
8/26/2021 13:30,,,,,,18900
8/26/2021 15:30,,,,,,18950
8/26/2021 17:39,,,,,,19000
8/26/2021 19:30,,,,,,19100
8/27/2021 8:32,,,,,,19150
8/27/2021 9:30,,,,,,19100
8/27/2021 10:24,,,,,,19050
8/27/2021 11:32,,,,,,19050
8/27/2021 13:41,,,,,,19050
8/27/2021 15:31,,,,,,19000
8/27/2021 17:30,,,,,,18950
8/27/2021 19:39,,,,,,18950
8/28/2021 9:30,,,,,,19050
8/28/2021 11:40,,,,,,19050
8/28/2021 13:25,,,,,,19050
8/28/2021 16:05,,,,,,19050
8/28/2021 17:36,,,,,,19050
8/29/2021 9:32,,,,,,19050
8/29/2021 11:39,,,,,,19050
8/29/2021 13:30,,,,,,19125
8/29/2021 15:30,,,,,,19150
8/29/2021 17:30,,,,,,19100
8/30/2021 9:38,,,,,,19250
8/30/2021 11:48,,,,,,19200
8/30/2021 13:33,,,,,,19175
8/30/2021 15:50,,,,,,19200
8/30/2021 17:29,,,,,,19175
8/30/2021 19:20,,,,,,19150
8/31/2021 9:49,,,,,,19000
8/31/2021 11:31,,,,,,18975
8/31/2021 13:30,,,,,,19025
8/31/2021 15:27,,,,,,19000
8/31/2021 17:36,,,,,,19050
8/31/2021 18:00,126600,130800,98100,91400,73.99,
8/31/2021 19:49,,,,,,19000
9/1/2021 9:13,,,,,,19100
9/1/2021 12:48,,,,,,18800
9/1/2021 13:59,,,,,,18650
9/1/2021 14:31,,,,,,18600
9/1/2021 15:10,,,,,,18650
9/1/2021 15:55,,,,,,18650
9/1/2021 19:22,,,,,,18300
9/2/2021 9:23,,,,,,18100
